Before Bug fix,After Bug fix,Location,Bug type,Commit Message,Project URL,File Path,Fixed Commit,Buggy Commit,Test File,Coding Effort,Constructs,Lizard Features Buggy,Lizard Features Fixed,BLEU,crystalBLEU_score,BERT_score
"49             f.write(toml.dumps(data))
50 
51     @staticmethod
52     def remove_package_from_pipfile(package_name, dev=False):
53         pipfile_path = pipfile.Pipfile.find()
54 
55         # Read and append Pipfile.
56         with open(pipfile_path, 'r') as f:
57             p = toml.loads(f.read())
58 
59             key = 'dev-packages' if dev else 'packages'
60             if package_name in p[key]:
61                 del p[key][package_name]
62 
63         # Write Pipfile.
64         data = format_toml(toml.dumps(p))
65         with open(pipfile_path, 'w') as f:
66             f.write(data)
67 
68     @staticmethod
","49             f.write(toml.dumps(data))
50 
51     @staticmethod
52     def remove_package_from_pipfile(package_name, dev=False):
53         pipfile_path = pipfile.Pipfile.find()
54 
55         # Read and append Pipfile.
56         with open(pipfile_path, 'r') as f:
57             p = toml.loads(f.read())
58 
59             key = 'dev-packages' if dev else 'packages'
60             if key in p:
61                 if package_name in p[key]:
62                     del p[key][package_name]
63 
64         # Write Pipfile.
65         data = format_toml(toml.dumps(p))
66         with open(pipfile_path, 'w') as f:
67             f.write(data)
68 
69     @staticmethod
","Before: 60, 61
After: 60, 61, 62",fix typo in project.py,don't error out if group doesn't exist,https://github.com/pypa/pipenv,pipenv/project.py,e06727075a4a45d1be99db13513bc0b14643667c,d862ed6093dfd47f2800a9c9f5b6d7d2c48ab82c,0,539,"{'module': 1, 'expression_statement': 6, 'call': 10, 'attribute': 8, 'identifier': 40, '.': 8, 'argument_list': 10, '(': 11, ')': 11, 'decorated_definition': 1, 'decorator': 1, '@': 1, 'function_definition': 1, 'def': 1, 'parameters': 1, ',': 3, 'default_parameter': 1, '=': 5, 'false': 1, ':': 4, 'block': 4, 'assignment': 4, 'comment': 2, 'with_statement': 2, 'with': 2, 'with_clause': 2, 'with_item': 2, 'as_pattern': 2, 'string': 4, 'string_start': 4, 'string_content': 4, 'string_end': 4, 'as': 2, 'as_pattern_target': 2, 'conditional_expression': 1, 'if': 2, 'else': 1, 'if_statement': 1, 'comparison_operator': 1, 'in': 1, 'subscript': 3, '[': 3, ']': 3, 'delete_statement': 1, 'del': 1}","{'cyclomatic_complexity': 1, 'nloc': 2, 'token_count': 15, 'name': '__init__', 'long_name': '__init__( self )', 'start_line': 12, 'end_line': 13, 'full_parameters': ['self'], 'filename': '/home/set-iitgn-vm/.local/lib/python3.10/site-packages/Minecpp/pipenv/prev/pipenv/project.py', 'top_nesting_level': 1, 'fan_in': 0, 'fan_out': 0, 'general_fan_out': 0}","{'cyclomatic_complexity': 1, 'nloc': 2, 'token_count': 15, 'name': '__init__', 'long_name': '__init__( self )', 'start_line': 12, 'end_line': 13, 'full_parameters': ['self'], 'filename': '/home/set-iitgn-vm/.local/lib/python3.10/site-packages/Minecpp/pipenv/curr/pipenv/project.py', 'top_nesting_level': 1, 'fan_in': 0, 'fan_out': 0, 'general_fan_out': 0}",0.8288198676016757,0.830231316351752,"(tensor([0.9858]), tensor([0.9888]), tensor([0.9873]), tensor([0.9885]))"
"67             f.write(data)
68 
69     @staticmethod
70     def add_package_to_pipfile(package_name, dev=False):
71         pipfile_path = pipfile.Pipfile.find()
72 
73         # Read and append Pipfile.
74         with open(pipfile_path, 'r') as f:
75             p = toml.loads(f.read())
76 
77             key = 'dev-packages' if dev else 'packages'
78 
79             # Set empty group if it doesn't exist yet.
80             if key not in p:
81                 p[key] = {}
82 
83             package = convert_deps_from_pip(package_name)
84             package_name = package.keys()[0]
85 
86             # Add the package to the group.
87             p[key][package_name] = package[package_name]
88 
89         # Write Pipfile.
90         data = format_toml(toml.dumps(p))
91         with open(pipfile_path, 'w') as f:
92             f.write(data)
","67             f.write(data)
68 
69     @staticmethod
70     def add_package_to_pipfile(package_name, dev=False):
71         pipfile_path = pipfile.Pipfile.find()
72 
73         # Read and append Pipfile.
74         with open(pipfile_path, 'r') as f:
75             p = toml.loads(f.read())
76 
77             key = 'dev-packages' if dev else 'packages'
78 
79             # Set empty group if it doesn't exist yet.
80             if key not in p:
81                 p[key] = {}
82 
83             package = convert_deps_from_pip(package_name)
84             package_name = [k for k in package.keys()][0]
85 
86             # Add the package to the group.
87             p[key][package_name] = package[package_name]
88 
89         # Write Pipfile.
90         data = format_toml(toml.dumps(p))
91         with open(pipfile_path, 'w') as f:
92             f.write(data)
","Before: 84
After: 84",fix typo in project.py,python3 fixes,https://github.com/pypa/pipenv,pipenv/project.py,3d023a63d8d5b7c3e104f27b93dc65eaf33f1157,a5da8d984df96974a94158edc8e33ff15bb07829,0,750,"{'module': 1, 'expression_statement': 9, 'call': 10, 'attribute': 7, 'identifier': 44, '.': 7, 'argument_list': 10, '(': 11, ')': 11, 'decorated_definition': 1, 'decorator': 1, '@': 1, 'function_definition': 1, 'def': 1, 'parameters': 1, ',': 3, 'default_parameter': 1, '=': 9, 'false': 1, ':': 4, 'block': 4, 'assignment': 8, 'comment': 4, 'with_statement': 2, 'with': 2, 'with_clause': 2, 'with_item': 2, 'as_pattern': 2, 'string': 4, 'string_start': 4, 'string_content': 4, 'string_end': 4, 'as': 2, 'as_pattern_target': 2, 'conditional_expression': 1, 'if': 2, 'else': 1, 'if_statement': 1, 'comparison_operator': 1, 'not in': 2, 'subscript': 5, '[': 5, ']': 5, 'dictionary': 1, '{': 1, '}': 1, 'integer': 1}","{'cyclomatic_complexity': 1, 'nloc': 2, 'token_count': 15, 'name': '__init__', 'long_name': '__init__( self )', 'start_line': 12, 'end_line': 13, 'full_parameters': ['self'], 'filename': '/home/set-iitgn-vm/.local/lib/python3.10/site-packages/Minecpp/pipenv/prev/pipenv/project.py', 'top_nesting_level': 1, 'fan_in': 0, 'fan_out': 0, 'general_fan_out': 0}","{'cyclomatic_complexity': 1, 'nloc': 2, 'token_count': 15, 'name': '__init__', 'long_name': '__init__( self )', 'start_line': 12, 'end_line': 13, 'full_parameters': ['self'], 'filename': '/home/set-iitgn-vm/.local/lib/python3.10/site-packages/Minecpp/pipenv/curr/pipenv/project.py', 'top_nesting_level': 1, 'fan_in': 0, 'fan_out': 0, 'general_fan_out': 0}",0.9470301074174076,0.9462412889852664,"(tensor([0.9886]), tensor([0.9974]), tensor([0.9930]), tensor([0.9965]))"
"48     def lockfile_exists(self):
49         return os.path.isfile(self.lockfile_location)
50 
51     def create_pipfile(self):
52         data = {u'source': [{u'url': u'https://pypi.org/', u'verify_ssl': True}], u'packages': {}, 'dev-packages': {}}
53         with open('Pipfile', 'w') as f:
54             f.write(toml.dumps(data))
55 
56     @property
","48     def lockfile_exists(self):
49         return os.path.isfile(self.lockfile_location)
50 
51     def create_pipfile(self):
52         data = {u'source': [{u'url': u'https://pypi.python.org/simple', u'verify_ssl': True}], u'packages': {}, 'dev-packages': {}}
53         with open('Pipfile', 'w') as f:
54             f.write(toml.dumps(data))
55 
56     @property
","Before: 52
After: 52",fix project.py -- a/pipenv/project.py -- b/pipenv/project.py,fix default source,https://github.com/pypa/pipenv,pipenv/project.py,33240ac6581188e363d2e4e21753a3071f57df86,cb22a129eae8c8e800e603c38bf1fe04d420fbde,0,446,"{'module': 1, 'function_definition': 2, 'def': 2, 'identifier': 17, 'parameters': 2, '(': 6, ')': 6, ':': 8, 'block': 3, 'return_statement': 1, 'return': 1, 'call': 4, 'attribute': 5, '.': 5, 'argument_list': 4, 'expression_statement': 2, 'assignment': 1, '=': 1, 'dictionary': 4, '{': 4, 'pair': 5, 'string': 8, 'string_start': 8, 'string_content': 8, 'string_end': 8, 'list': 1, '[': 1, ',': 4, 'true': 1, '}': 4, ']': 1, 'with_statement': 1, 'with': 1, 'with_clause': 1, 'with_item': 1, 'as_pattern': 1, 'as': 1, 'as_pattern_target': 1}","{'cyclomatic_complexity': 1, 'nloc': 2, 'token_count': 15, 'name': '__init__', 'long_name': '__init__( self )', 'start_line': 12, 'end_line': 13, 'full_parameters': ['self'], 'filename': '/home/set-iitgn-vm/.local/lib/python3.10/site-packages/Minecpp/pipenv/prev/pipenv/project.py', 'top_nesting_level': 1, 'fan_in': 0, 'fan_out': 0, 'general_fan_out': 0}","{'cyclomatic_complexity': 1, 'nloc': 2, 'token_count': 15, 'name': '__init__', 'long_name': '__init__( self )', 'start_line': 12, 'end_line': 13, 'full_parameters': ['self'], 'filename': '/home/set-iitgn-vm/.local/lib/python3.10/site-packages/Minecpp/pipenv/curr/pipenv/project.py', 'top_nesting_level': 1, 'fan_in': 0, 'fan_out': 0, 'general_fan_out': 0}",0.9690278768043126,0.9649418136286289,"(tensor([0.9871]), tensor([0.9949]), tensor([0.9910]), tensor([0.9941]))"
"1 import os
2 try:
3     from collections import OrderedDict
4 except ImportError:
5     from ordereddict import OrderedDict
6 
","1 import os
2 
3 import toml
4 
5 from requests.compat import OrderedDict
6 
7 from . import _pipfile as pipfile
8 from .utils import format_toml, multi_split
9 from .utils import convert_deps_from_pip, convert_deps_to_pip
","Before: 2, 3, 4, 5
After: 5, 6",use requests.compat if available,fixing OrderedDict,https://github.com/pypa/pipenv,pipenv/project.py,410444c815ef130eeaec156667fb17f53a60e41f,1889055917e4cbfabeda56215a1f3b0f8e80f8f6,0,9,"{'module': 1, 'import_statement': 1, 'import': 3, 'dotted_name': 5, 'identifier': 6, 'try_statement': 1, 'try': 1, ':': 2, 'block': 2, 'import_from_statement': 2, 'from': 2, 'except_clause': 1, 'except': 1}","{'cyclomatic_complexity': 6, 'nloc': 11, 'token_count': 74, 'name': 'mkdir_p', 'long_name': 'mkdir_p( newdir )', 'start_line': 14, 'end_line': 30, 'full_parameters': ['newdir'], 'filename': '/home/set-iitgn-vm/.local/lib/python3.10/site-packages/Minecpp/pipenv/prev/pipenv/project.py', 'top_nesting_level': 0, 'fan_in': 0, 'fan_out': 0, 'general_fan_out': 0}","{'cyclomatic_complexity': 6, 'nloc': 11, 'token_count': 74, 'name': 'mkdir_p', 'long_name': 'mkdir_p( newdir )', 'start_line': 12, 'end_line': 28, 'full_parameters': ['newdir'], 'filename': '/home/set-iitgn-vm/.local/lib/python3.10/site-packages/Minecpp/pipenv/curr/pipenv/project.py', 'top_nesting_level': 0, 'fan_in': 0, 'fan_out': 0, 'general_fan_out': 0}",0.116815707716791,0.0820441176883657,"(tensor([0.7589]), tensor([0.8681]), tensor([0.8098]), tensor([0.8558]))"
"1 __version__ = '3.2.5'
","1 __version__ = '3.2.TEST'
","Before: 1
After: 1",update pipenv to 3.2.test,"Revert ""Merge branch 'master' into fix_link_parsing""",https://github.com/pypa/pipenv,pipenv/__version__.py,94eb22a8ce1c16bceb705ffe3156a565e306fab8,848ea144a6b520a7cd8e767466546474a31b7621,0,10,{'module': 1},{},{},0.537284965911771,0.0,"(tensor([0.8772]), tensor([0.9301]), tensor([0.9029]), tensor([0.9245]))"
"9 from .utils import convert_deps_from_pip, convert_deps_to_pip
10 
11 
12 def mkdir_p(newdir):
13     """"""works the way a good mkdir should :)
14         - already exists, silently complete
15         - regular file in the way, raise an exception
16         - parent directory(ies) does not exist, make them as well
17         From: http://code.activestate.com/recipes/82465-a-friendly-mkdir/
18     """"""
19     if os.path.isdir(newdir):
20         pass
21     elif os.path.isfile(newdir):
22         raise OSError(""a file with the same name as the desired dir, '%s', already exists."" % newdir)
23     else:
24         head, tail = os.path.split(newdir)
25         if head and not os.path.isdir(head):
26             _mkdir(head)
27         if tail:
28             os.mkdir(newdir)
29 
30 
","9 from .utils import convert_deps_from_pip, convert_deps_to_pip
10 
11 
12 def mkdir_p(newdir):
13     """"""works the way a good mkdir should :)
14         - already exists, silently complete
15         - regular file in the way, raise an exception
16         - parent directory(ies) does not exist, make them as well
17         From: http://code.activestate.com/recipes/82465-a-friendly-mkdir/
18     """"""
19     if os.path.isdir(newdir):
20         pass
21     elif os.path.isfile(newdir):
22         raise OSError(""a file with the same name as the desired dir, '%s', already exists."" % newdir)
23     else:
24         head, tail = os.path.split(newdir)
25         if head and not os.path.isdir(head):
26             mkdir_p(head)
27         if tail:
28             os.mkdir(newdir)
29 
30 
","Before: 26
After: 26",fix typo in project.py,Fix unknown function,https://github.com/pypa/pipenv,pipenv/project.py,67c5204fad3bf44af5e8ad2c0dbdbf0e4d075f02,48e5d064ffe1e68d399dd1f971db272fdf3cde82,0,162,"{'module': 1, 'import_from_statement': 1, 'from': 1, 'relative_import': 1, 'import_prefix': 1, '.': 10, 'dotted_name': 3, 'identifier': 32, 'import': 1, ',': 2, 'function_definition': 1, 'def': 1, 'parameters': 1, '(': 8, ')': 8, ':': 6, 'block': 6, 'expression_statement': 4, 'string': 2, 'string_start': 2, 'string_content': 2, 'string_end': 2, 'if_statement': 3, 'if': 3, 'call': 7, 'attribute': 9, 'argument_list': 7, 'pass_statement': 1, 'pass': 1, 'elif_clause': 1, 'elif': 1, 'raise_statement': 1, 'raise': 1, 'binary_operator': 1, '%': 1, 'else_clause': 1, 'else': 1, 'assignment': 1, 'pattern_list': 1, '=': 1, 'boolean_operator': 1, 'and': 1, 'not_operator': 1, 'not': 1}","{'cyclomatic_complexity': 6, 'nloc': 11, 'token_count': 74, 'name': 'mkdir_p', 'long_name': 'mkdir_p( newdir )', 'start_line': 12, 'end_line': 28, 'full_parameters': ['newdir'], 'filename': '/home/set-iitgn-vm/.local/lib/python3.10/site-packages/Minecpp/pipenv/prev/pipenv/project.py', 'top_nesting_level': 0, 'fan_in': 0, 'fan_out': 0, 'general_fan_out': 0}","{'cyclomatic_complexity': 6, 'nloc': 11, 'token_count': 74, 'name': 'mkdir_p', 'long_name': 'mkdir_p( newdir )', 'start_line': 12, 'end_line': 28, 'full_parameters': ['newdir'], 'filename': '/home/set-iitgn-vm/.local/lib/python3.10/site-packages/Minecpp/pipenv/curr/pipenv/project.py', 'top_nesting_level': 0, 'fan_in': 0, 'fan_out': 0, 'general_fan_out': 0}",0.9835236864262558,0.9823297125839954,"(tensor([0.9974]), tensor([0.9982]), tensor([0.9978]), tensor([0.9981]))"
"43         return d_dir
44 
45     @property
46     def proper_names_location(self):
47         pn_file = os.sep.join(self.pipfile_location.split(os.sep)[:-1] + ['.venv', 'pipenev-proper-names.txt'])
48 
49         # Create the database, if it doesn't exist.
50         open(pn_file, 'a').close()
51 
52         return pn_file
53 
54     @property
","43         return d_dir
44 
45     @property
46     def proper_names_location(self):
47         pn_file = os.sep.join(self.virtualenv_location.split(os.sep) + ['pipenev-proper-names.txt'])
48 
49         # Create the database, if it doesn't exist.
50         open(pn_file, 'a').close()
51 
52         return pn_file
53 
54     @property
","Before: 47
After: 47",fix pipfile_location and virtualenv_location,bugfix,https://github.com/pypa/pipenv,pipenv/project.py,5370b0dc00ee39f2683b06ce2c893861e3a4d206,4c38b14aec295c233fc93b41234b6b48179eb200,0,364,"{'module': 1, 'return_statement': 2, 'return': 2, 'identifier': 17, 'decorated_definition': 1, 'decorator': 1, '@': 1, 'function_definition': 1, 'def': 1, 'parameters': 1, '(': 5, ')': 5, ':': 2, 'block': 1, 'expression_statement': 2, 'assignment': 1, '=': 1, 'call': 4, 'attribute': 6, '.': 6, 'argument_list': 4, 'binary_operator': 1, 'subscript': 1, '[': 2, 'slice': 1, 'unary_operator': 1, '-': 1, 'integer': 1, ']': 2, '+': 1, 'list': 1, 'string': 3, 'string_start': 3, 'string_content': 3, 'string_end': 3, ',': 2, 'comment': 1}","{'cyclomatic_complexity': 1, 'nloc': 2, 'token_count': 15, 'name': '__init__', 'long_name': '__init__( self )', 'start_line': 16, 'end_line': 17, 'full_parameters': ['self'], 'filename': '/home/set-iitgn-vm/.local/lib/python3.10/site-packages/Minecpp/pipenv/prev/pipenv/project.py', 'top_nesting_level': 1, 'fan_in': 0, 'fan_out': 0, 'general_fan_out': 0}","{'cyclomatic_complexity': 1, 'nloc': 2, 'token_count': 15, 'name': '__init__', 'long_name': '__init__( self )', 'start_line': 16, 'end_line': 17, 'full_parameters': ['self'], 'filename': '/home/set-iitgn-vm/.local/lib/python3.10/site-packages/Minecpp/pipenv/curr/pipenv/project.py', 'top_nesting_level': 1, 'fan_in': 0, 'fan_out': 0, 'general_fan_out': 0}",0.8135761271716819,0.8108308584965338,"(tensor([0.9878]), tensor([0.9698]), tensor([0.9787]), tensor([0.9715]))"
